,M,L,P,R,T,rho,epsilon,kappa,del_ad,del_rad,del_actual,convective,radiative
217,4.324779559118237e+32,1.4178363508978942e+33,4.671750775477121e+16,12836654351.008926,9372461.156753927,37.14528660217527,1.2314871524370221,4.804075005637376,0.39950150495188114,0.3760860873361647,0.3760860873361647,0,1
218,4.344709418837676e+32,1.4202774203679572e+33,4.654936855820731e+16,12862476960.649132,9362878.218673203,37.049487425469785,1.2224128917544708,4.7838961601572,0.3995017467199739,0.3736119639046934,0.3736119639046934,0,1
219,4.3646392785571145e+32,1.422700414207732e+33,4.638180611610206e+16,12888259470.630653,9353308.422193376,36.953899455597096,1.2134041067702412,4.7638928870601065,0.3995019873568277,0.37116243232564355,0.37116243232564355,0,1
220,4.384569138276553e+32,1.4251054698740362e+33,4.621481696222958e+16,12914002375.960949,9343751.65553002,36.8585214220835,1.204460251444958,4.7440648235865055,0.39950222686628245,0.36873730420351397,0.36873730420351397,0,1
221,4.404498997995992e+32,1.427492723776043e+33,4.604839766734832e+16,12939706169.723383,9334207.809170606,36.76335206347895,1.1955807864105363,4.724411495181865,0.3995024652518592,0.36633638380176275,0.36633638380176275,0,1
222,4.424428857715431e+32,1.4298623112752829e+33,4.588254483920103e+16,12965371343.077234,9324676.775874496,36.66839012756192,1.186765178883483,4.7049323190925,0.39950270251676145,0.36395946841206006,0.36395946841206006,0,1
223,4.44435871743487e+32,1.4322143666856418e+33,4.571725512251482e+16,12990998385.257692,9315158.45067295,36.5736343715444,1.1780129025792738,4.68562660785807,0.39950293866388137,0.36160634871068786,0.36160634871068786,0,1
224,4.464288577154309e+32,1.4345490232733617e+33,4.555252519900109e+16,13016587783.575851,9305652.73086913,36.47908356227669,1.169323437627756,4.666493572702355,0.39950317369579813,0.35927680910240106,0.35927680910240106,0,1
225,4.484218436873748e+32,1.436866413257041e+33,4.5388351787355576e+16,13042140023.418722,9296159.516038086,36.384736476452446,1.1606962704895045,4.647532326823559,0.3995034076147834,0.3569706280520305,0.3569706280520305,0,1
226,4.504148296593187e+32,1.4391666678076342e+33,4.522473164325834e+16,13067655588.249228,9286678.70802677,36.29059190081356,1.15213089387323,4.62874188858589,0.39950364042280123,0.3546875784041421,0.3546875784041421,0,1
227,4.5240781563126255e+32,1.4414499170484518e+33,4.506166155937374e+16,13093134959.606194,9277210.21095403,36.19664863235528,1.1436268066541453,4.610121184614148,0.3995038721215133,0.35242742769106045,0.35242742769106045,0,1
228,4.544008016032064e+32,1.443716290055161e+33,4.489913836535048e+16,13118578617.104366,9267753.931210605,36.10290547853122,1.1351835137932798,4.591669052793121,0.3995041027122804,0.3501899384295687,0.3501899384295687,0,1
229,4.563937875751503e+32,1.4459659148557846e+33,4.473715892782159e+16,13143987038.434391,9258309.777459135,36.00936125745857,1.1268005262577871,4.573384245173603,0.3995043321961637,0.34797486840658937,0.34797486840658937,0,1
230,4.5838677354709426e+32,1.4481989184307018e+33,4.457572015040439e+16,13169360699.362835,9248877.660634156,35.91601479812319,1.1184773609421523,4.55526543078707,0.3995045605739295,0.3457819709541632,0.3457819709541632,0,1
231,4.603797595190381e+32,1.4504154267126476e+33,4.441481897370056e+16,13194700073.732166,9239457.493942099,35.822864940585035,1.1102135405903786,4.53731119837098,0.399504787846051,0.3436109952140383,0.3436109952140383,0,1
232,4.62372745490982e+32,1.452615564586714e+33,4.425445237529608e+16,13220005633.46077,9230049.19286129,35.72991053618342,1.1020085937190423,4.5195200590068,0.39950501401271094,0.3414616863921786,0.3414616863921786,0,1
233,4.643657314629259e+32,1.454799455890348e+33,4.409461736976124e+16,13245277848.54294,9220652.675141955,35.63715044774251,1.093862054541294,4.501890448672851,0.39950523907380425,0.339333786003503,0.339333786003503,0,1
234,4.663587174348698e+32,1.456967223413354e+33,4.393531100865069e+16,13270517187.04888,9211267.860806212,35.544583549777,1.0857734628917284,4.484420730714113,0.39950546302894185,0.33722703210716115,0.33722703210716115,0,1
235,4.6835170340681365e+32,1.4591189888978912e+33,4.377653038050334e+16,13295724115.124704,9201894.67214808,35.45220872869762,1.0777423641521695,4.467109198231493,0.3995056858774518,0.3351411595326739,0.3351411595326739,0,1
236,4.703446893787575e+32,1.4612548730384763e+33,4.361827261084251e+16,13320899096.992441,9192533.03373347,35.360024883017154,1.0697683091782815,4.449954076392249,0.3995059076183834,0.33307590009720794,0.33307590009720794,0,1
237,4.723376753507014e+32,1.4633749954819813e+33,4.346053486217575e+16,13346042594.950024,9183182.87240019,35.26803092355624,1.0618508542271055,4.432953524664398,0.3995061282505112,0.33103098281431736,0.33103098281431736,0,1
238,4.7433066132264535e+32,1.465479474827635e+33,4.3303314333994984e+16,13371155069.3713,9173844.117257947,35.17622577364948,1.0539895608853775,4.416105638977218,0.399506347772333,0.32900613409445106,0.32900613409445106,0,1
239,4.763236472945892e+32,1.4675684286270215e+33,4.3146608262776456e+16,13396236978.706022,9164516.699688341,35.08460836935174,1.0461839959987531,4.399408453810012,0.3995065661820803,0.32700107793750166,0.32700107793750166,0,1
240,4.783166332665331e+32,1.4696419733840817e+33,4.299041392198072e+16,13421288779.479864,9155200.55334487,34.99317765964451,1.0384337316018175,4.382859944211751,0.3995067834777162,0.32501553611771294,0.32501553611771294,0,1
241,4.80309619238477e+32,1.4717002245551126e+33,4.283472862205264e+16,13446310926.294401,9145895.614152929,34.90193260664235,1.03073834484893,4.3664580277538905,0.3995069996569384,0.3230492283612309,0.3230492283612309,0,1
242,4.823026052104209e+32,1.473743296548767e+33,4.267954971042142e+16,13471303871.827122,9136601.820309805,34.81087218579981,1.0230974179458923,4.35020056641857,0.39950721471718476,0.3211018725165739,0.3211018725165739,0,1
243,4.8429559118236475e+32,1.4757713027260544e+33,4.2524874571500584e+16,13496268066.831429,9127319.112284688,34.71999538611819,1.015510538082408,4.334085368424933,0.39950742865563527,0.31917318471832545,0.31917318471832545,0,1
244,4.862885771543086e+32,1.47778435540034e+33,4.237070062668797e+16,13521203960.136625,9118047.432818659,34.62930121035272,1.0079772973653152,4.318110189995612,0.3995076414692146,0.3172628795443116,0.3172628795443116,0,1
245,4.882815631262526e+32,1.4797825658373453e+33,4.221702533436574e+16,13546111998.647938,9108786.726924695,34.53878867521984,1.0004972927526428,4.302272737066048,0.3995078531545975,0.3153706701665467,0.3153706701665467,0,1
246,4.9027454909819645e+32,1.481766044255148e+33,4.206384618990039e+16,13570992627.346493,9099536.941887675,34.44845681160466,0.9930701259884047,4.286570666938891,0.39950806370820824,0.3134962684962139,0.3134962684962139,0,1
247,4.922675350701403e+32,1.483734899824182e+33,4.191116072564271e+16,13595846289.289335,9090298.027264368,34.358304664768724,0.9856954035381608,4.271001589886039,0.39950827312622916,0.31163938532295715,0.31163938532295715,0,1
248,4.942605210420842e+32,1.4856892406672373e+33,4.175896651092785e+16,13620673425.609417,9081069.934883442,34.268331294557974,0.978372736525356,4.255563070700631,0.39950848140459855,0.3097997304487347,0.3097997304487347,0,1
249,4.962535070140281e+32,1.4876291738594604e+33,4.160726115207523e+16,13645474475.515598,9071852.618845461,34.17853577561082,0.9711017406683836,4.240252630201325,0.39950868853901816,0.30797701281649237,0.30797701281649237,0,1
250,4.98246492985972e+32,1.489554805428353e+33,4.145604229238864e+16,13670249876.292652,9062646.035522886,34.088917197566644,0.9638820362183942,4.225067755686304,0.39950889452495486,0.3061709412857343,0.3061709412857343,0,1
251,5.0023947895791584e+32,1.4914662403537738e+33,4.130530761215618e+16,13695000063.301266,9053450.14356007,33.999474665274406,0.956713247897826,4.21000592987473,0.3995090993576445,0.3043812267341987,0.3043812267341987,0,1
252,5.022324649298597e+32,1.4933635825679377e+33,4.115505482865022e+16,13719725469.978031,9044264.903873272,33.910207299001506,0.9495950048396772,4.195064603383916,0.3995093030320958,0.30260758005779,0.30260758005779,0,1
253,5.042254509018037e+32,1.4952469349554154e+33,4.100528169612755e+16,13744426527.835453,9035090.279650634,33.821114234643034,0.9425269405274557,4.180241186334645,0.3995095055430924,0.30084971157457585,0.30084971157457585,0,1
254,5.0621843687374755e+32,1.4971163993531335e+33,4.085598600582921e+16,13769103666.461948,9025926.236352205,33.73219462393109,0.9355086927358812,4.165533049772621,0.3995097068852004,0.2991073311418796,0.2991073311418796,0,1
255,5.082114228456914e+32,1.4989720765503758e+33,4.070716558598056e+16,13793757313.521841,9016772.741709927,33.6434476346445,0.9285399034722301,4.1509375270557864,0.39950990705276634,0.29738014826945397,0.29738014826945397,0,1
256,5.102044088176353e+32,1.500814066288781e+33,4.055881830179132e+16,13818387894.75537,9007629.765727635,33.55487245081883,0.9216202189184061,4.136451915209582,0.39951010603992587,0.29566787222893554,0.29566787222893554,0,1
257,5.121973947895792e+32,1.502642467262345e+33,4.04109420554555e+16,13842995833.97868,8998497.280681066,33.466468272956575,0.914749289373685,4.122073476252646,0.3995103038406057,0.2939702121598189,0.2939702121598189,0,1
258,5.141903807615231e+32,1.504457377117419e+33,4.026353478615146e+16,13867581553.08383,8989375.261117848,33.378234318237745,0.9079267691981353,4.107799438495037,0.3995105004485267,0.2922868771721506,0.2922868771721506,0,1
259,5.1618336673346694e+32,1.5062588924527107e+33,4.011659447004183e+16,13892145472.038788,8980263.683857508,33.290169820730654,0.901152316756684,4.093626997811375,0.39951069585720966,0.290617576446165,0.290617576446165,0,1
260,5.181763527054109e+32,1.5080471088192842e+33,3.997011912027363e+16,13916688008.887434,8971162.527991468,33.20227403160311,0.8944255943638847,4.07955331889106,0.3995108900599776,0.28896201932905885,0.28896201932905885,0,1
261,5.201693386773548e+32,1.5098221207205598e+33,3.982410678697816e+16,13941209579.749556,8962071.774883049,33.11454621933382,0.8877462682292772,4.0655755364679536,0.3995110830499607,0.2873199154291197,0.2873199154291197,0,1
262,5.2216232464929865e+32,1.5115840216123137e+33,3.967855555727104e+16,13965710598.820854,8952991.408167463,33.026985669924144,0.8811140084034688,4.0516907565316425,0.3995112748201011,0.2856909747073968,0.2856909747073968,0,1
263,5.241553106212425e+32,1.5133329039026777e+33,3.953346355525224e+16,13990191478.372938,8943921.413751826,32.939591687110166,0.8745284887247842,4.037896057522643,0.3995114653631542,0.284074907567117,0.284074907567117,0,1
264,5.261482965931864e+32,1.5150688589521413e+33,3.938882894200602e+16,14014652628.75333,8934861.779815141,32.85236359257511,0.8679893867665905,4.024188491513636,0.3995116546716976,0.2824714249410323,0.2824714249410323,0,1
265,5.281412825651303e+32,1.5167919770735485e+33,3.924464991560094e+16,14039094458.385462,8925812.496808315,32.76530072616197,0.8614963837852312,4.010565085379072,0.3995118427381291,0.2808802383768836,0.2808802383768836,0,1
266,5.301342685370742e+32,1.5185023475321003e+33,3.910092471108998e+16,14063517373.768677,8916773.557454146,32.67840244608672,0.8550491646685862,3.997022841955174,0.3995120295546783,0.27930106012116446,0.27930106012116446,0,1
267,5.3212725450901804e+32,1.520200058545354e+33,3.8957651600510344e+16,14087921779.478226,8907744.956747333,32.59166812915147,0.8486474178852432,3.983558741192836,0.39951221511340407,0.2777336032013745,0.2777336032013745,0,1
268,5.34120240480962e+32,1.5218851972832225e+33,3.881482889288357e+16,14112308078.165272,8898726.691954466,32.50509717095837,0.8422908354342649,3.970169741305053,0.39951239940620553,0.2761775815069034,0.2761775815069034,0,1
269,5.361132264529059e+32,1.5235578498679753e+33,3.867245493421558e+16,14136676670.556889,8889718.762614038,32.418688986123534,0.8359791127955878,3.956852779911627,0.39951258242482,0.2746327098687568,0.2746327098687568,0,1
270,5.3810621242484975e+32,1.5252181013742378e+33,3.853052810749654e+16,14161027955.456064,8880721.170536429,32.33244300849149,0.8297119488809721,3.9436047751826973,0.3995127641608324,0.27309870413824844,0.27309870413824844,0,1
271,5.400991983967936e+32,1.5268660358289917e+33,3.838904683270101e+16,14185362329.741688,8871733.919803925,32.24635869134991,0.8234890459855809,3.930422626983611,0.39951294460567927,0.27157528126484354,0.27157528126484354,0,1
272,5.420921843687375e+32,1.528501736211575e+33,3.824800956678781e+16,14209680188.36857,8862757.016770702,32.160435507644706,0.8173101097401201,3.917303218022978,0.3995131237506519,0.2700621593733019,0.2700621593733019,0,1
273,5.440851703406814e+32,1.5301252844536815e+33,3.81074148037001e+16,14233981924.367424,8853790.470062833,32.074672950195406,0.8111748490635641,3.9042434150059666,0.39951330158690146,0.26855905784026163,0.26855905784026163,0,1
274,5.4607815631262526e+32,1.5317367614393615e+33,3.796726107436538e+16,14258267928.84488,8844834.290578289,31.989070531910997,0.8050829761164515,3.8912400697949248,0.3995134781054443,0.2670656973704214,0.2670656973704214,0,1
275,5.480711422845692e+32,1.5333362470050212e+33,3.782754694669546e+16,14282538590.98347,8835888.491486937,31.903627786006012,0.7990342062547535,3.878290020579146,0.3995136532971676,0.2655818000724477,0.2655818000724477,0,1
276,5.500641282565131e+32,1.534923819939423e+33,3.768827102558645e+16,14306794298.041649,8826953.08823054,31.818344266217053,0.7930282579842899,3.8653900930559986,0.3995138271528338,0.2641070895347622,0.2641070895347622,0,1
277,5.52057114228457e+32,1.5364995579836857e+33,3.754943195291884e+16,14331035435.353767,8818028.098522756,31.733219547019612,0.7870648529157204,3.8525371016249106,0.3995139996630846,0.26264129090131155,0.26264129090131155,0,1
278,5.5405010020040085e+32,1.5380635378312838e+33,3.741102840755738e+16,14355262386.330097,8809113.542349141,31.64825322384523,0.7811437157200715,3.839727850596522,0.39951417081844787,0.2611841309474739,0.2611841309474739,0,1
279,5.560430861723447e+32,1.5396158351280488e+33,3.727305910535117e+16,14379475532.45682,8800209.441967146,31.563444913299097,0.7752645740848251,3.8269591354184116,0.3995143406093429,0.2597353381561948,0.2597353381561948,0,1
280,5.580360721442886e+32,1.5411565244721672e+33,3.713552279913362e+16,14403675253.296024,8791315.821906121,31.478794253377846,0.7694271586705324,3.8142277439195404,0.39951450902608326,0.2582946427944915,0.2582946427944915,0,1
281,5.600290581162325e+32,1.5426856794141825e+33,3.699841827872248e+16,14427861926.48571,8782432.708967306,31.394300903687913,0.7636312030679768,3.801530457574825,0.3995146760588849,0.25686177699041335,0.25686177699041335,0,1
282,5.6202204408817636e+32,1.5442033724569942e+33,3.686174437091981e+16,14452035927.739788,8773560.132223845,31.30996454566402,0.7578764437558655,3.7888640527917072,0.3995148416978718,0.25543647481057025,0.25543647481057025,0,1
283,5.640150300601203e+32,1.545709675055858e+33,3.672549993951197e+16,14476197630.848083,8764698.123020772,31.225784882788115,0.752162620059047,3.7762253022204195,0.39951500593307837,0.2540184723383397,0.2540184723383397,0,1
284,5.660080160320642e+32,1.5472046576183853e+33,3.65896838852697e+16,14500347407.676327,8755846.714975022,31.14176164080874,0.7464894741072569,3.7636109760892724,0.3995151687544582,0.2526075077528184,0.2526075077528184,0,1
285,5.680010020040081e+32,1.548688389504544e+33,3.645429514594798e+16,14524485628.16616,8747005.94397542,31.05789456796052,0.7408567507943664,3.7510178435666233,0.39951533015188917,0.25120332140862056,0.25120332140862056,0,1
286,5.6999398797595195e+32,1.5501609390266586e+33,3.631933269628621e+16,14548612660.335135,8738175.848182697,30.974183435184177,0.7352641977381753,3.7384426741511323,0.3995154901151783,0.2498056559166089,0.2498056559166089,0,1
287,5.719869739478958e+32,1.5516223734494089e+33,3.618479554800801e+16,14572728870.27672,8729356.468029471,30.890628036346786,0.7297115652406829,3.725889211676581,0.3995156486340685,0.24841472110599905,0.24841472110599905,0,1
288,5.739799599198397e+32,1.5530727589898315e+33,3.605068274982139e+16,14596834622.160286,8720547.846220262,30.80722818846239,0.7241986062488809,3.713394572593954,0.3995158056982441,0.24703294500022369,0.24703294500022369,0,1
289,5.759729458917836e+32,1.5545121608173187e+33,3.591699338741866e+16,14620930278.231121,8711750.027731482,30.723983731912924,0.7187250763160574,3.700965277261595,0.39951596129733774,0.24566070316273003,0.24566070316273003,0,1
290,5.779659318637275e+32,1.5559406430536193e+33,3.5783726583476456e+16,14645016198.810417,8702963.05981144,30.640894530669435,0.7132907335635644,3.6886019586431655,0.399516115420935,0.24429797779879425,0.24429797779879425,0,1
291,5.799589178356714e+32,1.5573582687728385e+33,3.565088149765572e+16,14669092742.295284,8694186.991980346,30.557960472513656,0.7078953386431355,3.676305207633815,0.3995162680585827,0.24294474837727797,0.24294474837727797,0,1
292,5.819519038076153e+32,1.558765100001437e+33,3.5518457326601736e+16,14693160265.158737,8685421.876030302,30.475181469259844,0.7025386546996201,3.6640755739761697,0.3995164191997943,0.2416009917232246,0.2416009917232246,0,1
293,5.839448897795592e+32,1.5601611977182317e+33,3.53864533039441e+16,14717219121.949705,8676667.766025305,30.39255745697693,0.6972204473342782,3.651913567165078,0.3995165688340546,0.2402666821086116,0.2402666821086116,0,1
294,5.8593787575150305e+32,1.5615466218543962e+33,3.5254868700296736e+16,14741269665.293022,8667924.718301253,30.310088396210954,0.6919404845685038,3.6398196573410053,0.3995167169508304,0.23894179134127982,0.23894179134127982,0,1
